202,relative distance,500,300,60
203,relative distance,500,400,60
204,relative distance,500,500,60
205,relative distance,500,600,60
206,relative distance,500,700,60
207,relative distance,500,800,60
208,relative distance,500,900,60
209,relative distance,500,1000,60
210,relative distance,1000,100,60
211,relative distance,1000,200,60
212,relative distance,1000,300,60
213,relative distance,1000,400,60
214,relative distance,1000,500,60
215,relative distance,1000,600,60
216,relative distance,1000,700,60
217,relative distance,1000,800,60
218,relative distance,1000,900,60
219,relative distance,1000,1000,60
220,relative distance,1500,100,60
221,relative distance,1500,200,60
222,relative distance,1500,300,60
223,relative distance,1500,400,60
224,relative distance,1500,500,60
225,relative distance,1500,600,60
226,relative distance,1500,700,60
227,relative distance,1500,800,60
228,relative distance,1500,900,60
229,relative distance,1500,1000,60
230,relative distance,2000,100,60
231,relative distance,2000,200,60
232,relative distance,2000,300,60
233,relative distance,2000,400,60
234,relative distance,2000,500,60
235,relative distance,2000,600,60
236,relative distance,2000,700,60
237,relative distance,2000,800,60
238,relative distance,2000,900,60
239,relative distance,2000,1000,60
240,relative distance,500,100,70
241,relative distance,500,200,70
242,relative distance,500,300,70
243,relative distance,500,400,70
244,relative distance,500,500,70
245,relative distance,500,600,70
246,relative distance,500,700,70
247,relative distance,500,800,70
248,relative distance,500,900,70
249,relative distance,500,1000,70
250,relative distance,1000,100,70
251,relative distance,1000,200,70
252,relative distance,1000,300,70
253,relative distance,1000,400,70
254,relative distance,1000,500,70
255,relative distance,1000,600,70
256,relative distance,1000,700,70
257,relative distance,1000,800,70
258,relative distance,1000,900,70
259,relative distance,1000,1000,70
260,relative distance,1500,100,70
261,relative distance,1500,200,70
262,relative distance,1500,300,70
263,relative distance,1500,400,70
264,relative distance,1500,500,70
265,relative distance,1500,600,70
266,relative distance,1500,700,70
267,relative distance,1500,800,70
268,relative distance,1500,900,70
269,relative distance,1500,1000,70
270,relative distance,2000,100,70
271,relative distance,2000,200,70
272,relative distance,2000,300,70
273,relative distance,2000,400,70
274,relative distance,2000,500,70
275,relative distance,2000,600,70
276,relative distance,2000,700,70
277,relative distance,2000,800,70
278,relative distance,2000,900,70
279,relative distance,2000,1000,70
280,relative distance,500,100,80
281,relative distance,500,200,80
282,relative distance,500,300,80
283,relative distance,500,400,80
284,relative distance,500,500,80
285,relative distance,500,600,80
286,relative distance,500,700,80
287,relative distance,500,800,80
288,relative distance,500,900,80
289,relative distance,500,1000,80
290,relative distance,1000,100,80
291,relative distance,1000,200,80
292,relative distance,1000,300,80
293,relative distance,1000,400,80
294,relative distance,1000,500,80
295,relative distance,1000,600,80
296,relative distance,1000,700,80
297,relative distance,1000,800,80
298,relative distance,1000,900,80
299,relative distance,1000,1000,80
300,relative distance,1500,100,80
301,relative distance,1500,200,80
302,relative distance,1500,300,80
303,relative distance,1500,400,80
304,relative distance,1500,500,80
305,relative distance,1500,600,80
306,relative distance,1500,700,80
307,relative distance,1500,800,80
308,relative distance,1500,900,80
309,relative distance,1500,1000,80
310,relative distance,2000,100,80
311,relative distance,2000,200,80
312,relative distance,2000,300,80
313,relative distance,2000,400,80
314,relative distance,2000,500,80
315,relative distance,2000,600,80
316,relative distance,2000,700,80
317,relative distance,2000,800,80
318,relative distance,2000,900,80
319,relative distance,2000,1000,80
320,relative distance,500,100,90
321,relative distance,500,200,90
322,relative distance,500,300,90
323,relative distance,500,400,90
324,relative distance,500,500,90
325,relative distance,500,600,90
326,relative distance,500,700,90
327,relative distance,500,800,90
328,relative distance,500,900,90
329,relative distance,500,1000,90
330,relative distance,1000,100,90
331,relative distance,1000,200,90
332,relative distance,1000,300,90
333,relative distance,1000,400,90
334,relative distance,1000,500,90
335,relative distance,1000,600,90
336,relative distance,1000,700,90
337,relative distance,1000,800,90
338,relative distance,1000,900,90
339,relative distance,1000,1000,90
340,relative distance,1500,100,90
341,relative distance,1500,200,90
342,relative distance,1500,300,90
343,relative distance,1500,400,90
344,relative distance,1500,500,90
345,relative distance,1500,600,90
346,relative distance,1500,700,90
347,relative distance,1500,800,90
348,relative distance,1500,900,90
349,relative distance,1500,1000,90
350,relative distance,2000,100,90
351,relative distance,2000,200,90
352,relative distance,2000,300,90
353,relative distance,2000,400,90
354,relative distance,2000,500,90
355,relative distance,2000,600,90
356,relative distance,2000,700,90
357,relative distance,2000,800,90
358,relative distance,2000,900,90
359,relative distance,2000,1000,90
360,relative distance,500,100,100
361,relative distance,500,200,100
362,relative distance,500,300,100
363,relative distance,500,400,100
364,relative distance,500,500,100
365,relative distance,500,600,100
366,relative distance,500,700,100
367,relative distance,500,800,100
368,relative distance,500,900,100
369,relative distance,500,1000,100
370,relative distance,1000,100,100
371,relative distance,1000,200,100
372,relative distance,1000,300,100
373,relative distance,1000,400,100
374,relative distance,1000,500,100
375,relative distance,1000,600,100
376,relative distance,1000,700,100
377,relative distance,1000,800,100
378,relative distance,1000,900,100
379,relative distance,1000,1000,100
380,relative distance,1500,100,100
381,relative distance,1500,200,100
382,relative distance,1500,300,100
383,relative distance,1500,400,100
384,relative distance,1500,500,100
385,relative distance,1500,600,100
