frameIdx, distance(m), speed(m/s), acceleration(m/s2), angle_steer, gas, brake, steer_torque, d_rel(m), v_rel(m/s)
1441, 328.31,   18.10,   -0.56,   0.00,   0.00,  0.14,   0.00,     29.36,   -0.22 
1461, 331.92,   17.99,   -0.55,   0.00,   0.00,  0.14,   0.00,     29.33,   -0.10 
1481, 335.51,   17.88,   -0.54,   0.00,   0.00,  0.14,   0.00,     29.32,    0.01 
1501, 339.07,   17.77,   -0.54,   0.00,   0.00,  0.14,   0.00,     29.33,    0.11 
1521, 342.62,   17.66,   -0.54,   0.00,   0.00,  0.14,   0.00,     29.36,    0.22 
1541, 346.14,   17.55,   -0.53,   0.00,   0.00,  0.13,   0.00,     29.42,    0.33 
1561, 349.64,   17.45,   -0.53,   0.00,   0.00,  0.13,   0.00,     29.49,    0.44 
1581, 353.12,   17.34,   -0.52,   0.00,   0.00,  0.13,   0.00,     29.59,    0.54 
1601, 356.58,   17.25,   -0.43,   0.00,   0.00,  0.10,   0.00,     29.71,    0.64 
1621, 360.02,   17.17,   -0.34,   0.00,   0.00,  0.07,   0.00,     29.84,    0.71 
1641, 363.45,   17.11,   -0.27,   0.00,   0.00,  0.05,   0.00,     29.99,    0.77 
1661, 366.86,   17.06,   -0.22,   0.00,   0.00,  0.03,   0.00,     30.15,    0.82 
1681, 370.27,   17.02,   -0.13,   0.00,   0.00,  0.00,   0.00,     30.32,    0.86 
1701, 373.67,   17.00,   -0.13,   0.00,   0.00,  0.00,   0.00,     30.49,    0.88 
1721, 377.07,   16.97,   -0.13,   0.00,   0.00,  0.00,   0.00,     30.67,    0.91 
1741, 380.46,   16.95,   -0.13,   0.00,   0.00,  0.00,   0.00,     30.86,    0.94 
1761, 383.85,   16.92,   -0.13,   0.00,   0.00,  0.00,   0.00,     31.05,    0.96 
1781, 387.23,   16.89,   -0.13,   0.00,   0.00,  0.00,   0.00,     31.24,    0.99 
1801, 390.61,   16.87,   -0.13,   0.00,   0.00,  0.00,   0.00,     31.44,    1.01 
1821, 393.98,   16.84,   -0.13,   0.00,   0.00,  0.00,   0.00,     31.65,    1.04 
1841, 397.34,   16.82,   -0.13,   0.00,   0.00,  0.00,   0.00,     31.86,    1.06 
1861, 400.70,   16.79,   -0.13,   0.00,   0.00,  0.00,   0.00,     32.07,    1.09 
1881, 404.06,   16.77,   -0.13,   0.00,   0.00,  0.00,   0.00,     32.29,    1.12 
1901, 407.41,   16.74,   -0.13,   0.00,   0.00,  0.00,   0.00,     32.52,    1.14 
1921, 410.76,   16.71,   -0.13,   0.00,   0.00,  0.00,   0.00,     32.75,    1.17 
1941, 414.10,   16.69,   -0.13,   0.00,   0.00,  0.00,   0.00,     32.99,    1.19 
1961, 417.43,   16.66,   -0.13,   0.00,   0.00,  0.00,   0.00,     33.23,    1.22 
1981, 420.76,   16.64,   -0.13,   0.00,   0.00,  0.00,   0.00,     33.47,    1.24 
2001, 424.09,   16.61,   -0.13,   0.00,   0.00,  0.00,   0.00,     33.72,    1.27 
2021, 427.41,   16.59,   -0.13,   0.00,   0.00,  0.00,   0.00,     33.98,    1.30 
2041, 430.72,   16.56,   -0.13,   0.00,   0.00,  0.00,   0.00,     34.24,    1.32 
2061, 434.03,   16.53,   -0.13,   0.00,   0.00,  0.00,   0.00,     34.51,    1.35 
2081, 437.34,   16.51,   -0.13,   0.00,   0.00,  0.00,   0.00,     34.78,    1.37 
2101, 440.63,   16.48,   -0.13,   0.00,   0.00,  0.00,   0.00,     35.06,    1.40 
2121, 443.93,   16.46,   -0.13,   0.00,   0.00,  0.00,   0.00,     35.34,    1.42 
2141, 447.22,   16.43,   -0.13,   0.00,   0.00,  0.00,   0.00,     35.63,    1.45 
2161, 450.50,   16.41,   -0.13,   0.00,   0.00,  0.00,   0.00,     35.92,    1.47 
2181, 453.78,   16.38,   -0.13,   0.00,   0.00,  0.00,   0.00,     36.22,    1.50 
2201, 457.06,   16.36,   -0.13,   0.00,   0.00,  0.00,   0.00,     36.52,    1.53 
2221, 460.32,   16.33,   -0.13,   0.00,   0.00,  0.00,   0.00,     36.83,    1.55 
2241, 463.59,   16.31,   -0.13,   0.00,   0.00,  0.00,   0.00,     37.14,    1.58 
2261, 466.85,   16.28,   -0.13,   0.00,   0.00,  0.00,   0.00,     37.46,    1.60 
2281, 470.10,   16.26,   -0.13,   0.00,   0.00,  0.00,   0.00,     37.78,    1.63 
2301, 473.35,   16.23,   -0.13,   0.00,   0.00,  0.00,   0.00,     38.11,    1.65 
2321, 476.59,   16.20,   -0.13,   0.00,   0.00,  0.00,   0.00,     38.44,    1.68 
2341, 479.83,   16.18,   -0.13,   0.00,   0.00,  0.00,   0.00,     38.78,    1.70 
2361, 483.06,   16.15,   -0.13,   0.00,   0.00,  0.00,   0.00,     39.12,    1.73 
2381, 486.29,   16.13,   -0.13,   0.00,   0.00,  0.00,   0.00,     39.47,    1.75 
2401, 489.52,   16.10,   -0.13,   0.00,   0.00,  0.00,   0.00,     39.82,    1.78 
